"","term","gene","human"
"84","AbSC_Pos","Emp2","EMP2"
"85","AbSC_Pos","Anxa2","ANXA2"
"86","AbSC_Pos","Selenoh","SELENOH"
"87","AbSC_Pos","Nhp2","NHP2"
"88","AbSC_Pos","Xaf1","XAF1"
"89","AbSC_Pos","App","APP"
"90","AbSC_Pos","Hnrnpa1","HNRNPA1"
"91","AbSC_Pos","Eif2s2","EIF2S2"
"92","AbSC_Pos","Cxadr","CXADR"
"93","AbSC_Pos","Duoxa2","DUOXA2"
"94","AbSC_Pos","Metap2","METAP2"
"95","AbSC_Pos","Slc25a4","SLC25A4"
"96","AbSC_Pos","Stmn1","STMN1"
"97","AbSC_Pos","Aldoa","ALDOA"
"98","AbSC_Pos","Pebp1","PEBP1"
"99","AbSC_Pos","Irf7","IRF7"
"100","AbSC_Pos","Sdc1","SDC1"
"101","AbSC_Pos","Prdx2","PRDX2"
"102","AbSC_Pos","Cfl1","CFL1"
"103","AbSC_Pos","Mt2","MT2"
"104","AbSC_Pos","Rnf213","RNF213"
"105","AbSC_Pos","Psme1","PSME1"
"106","AbSC_Pos","Pdlim7","PDLIM7"
"107","AbSC_Pos","Clic1","CLIC1"
"108","AbSC_Pos","Cela1","CELA1"
"109","AbSC_Pos","Ctxn1","CTXN1"
"110","AbSC_Pos","Npm1","NPM1"
"111","AbSC_Pos","Hnrnpab","HNRNPAB"
"112","AbSC_Pos","Id3","ID3"
"113","AbSC_Pos","Ifi47","IFI47"
"114","AbSC_Pos","Sypl","SYPL"
"115","AbSC_Pos","Atp6v1g1","ATP6V1G1"
"116","AbSC_Pos","Pmepa1","PMEPA1"
"117","AbSC_Pos","Vars","VARS"
"118","AbSC_Pos","B2m","B2M"
"119","AbSC_Pos","Eif4a1","EIF4A1"
"120","AbSC_Pos","Cd44","CD44"
"121","AbSC_Pos","Nop56","NOP56"
"122","AbSC_Pos","Lamp2","LAMP2"
"123","AbSC_Pos","Smarca4","SMARCA4"
"124","AbSC_Pos","Oas1a","OAS1A"
"125","AbSC_Pos","Hebp2","HEBP2"
"126","AbSC_Pos","Anp32a","ANP32A"
"127","AbSC_Pos","Taf1d","TAF1D"
"128","AbSC_Pos","Hmgn2","HMGN2"
"129","AbSC_Pos","H2-DMb1","H2-DMB1"
"130","AbSC_Pos","Psma3","PSMA3"
"131","AbSC_Pos","Cstb","CSTB"
"132","AbSC_Pos","Fus","FUS"
"133","AbSC_Pos","Eif5b","EIF5B"
"134","AbSC_Pos","Ube2i","UBE2I"
"135","AbSC_Pos","Xrn2","XRN2"
"136","AbSC_Pos","Rpsa","RPSA"
"137","AbSC_Pos","Cirbp","CIRBP"
"138","AbSC_Pos","Snhg12","SNHG12"
"139","AbSC_Pos","Ktn1","KTN1"
"140","AbSC_Pos","Ccdc34","CCDC34"
"141","AbSC_Pos","Rtn4","RTN4"
"142","AbSC_Pos","Cd47","CD47"
"143","AbSC_Pos","Fermt1","FERMT1"
"144","AbSC_Pos","Snhg6","SNHG6"
"145","AbSC_Pos","Trmt112","TRMT112"
"146","AbSC_Pos","Gapdh","GAPDH"
"147","AbSC_Pos","Avpi1","AVPI1"
"148","AbSC_Pos","Dsg2","DSG2"
"149","AbSC_Pos","Tgif1","TGIF1"
"150","AbSC_Pos","Rps15","RPS15"
"151","AbSC_Pos","Shisa5","SHISA5"
"152","AbSC_Pos","Glul","GLUL"
"153","AbSC_Pos","Tes","TES"
"154","AbSC_Pos","Bex3","BEX3"
"155","AbSC_Pos","Rpl36","RPL36"
"156","AbSC_Pos","Psmd7","PSMD7"
"157","AbSC_Pos","Set","SET"
"158","AbSC_Pos","Llph","LLPH"
"159","AbSC_Pos","Atp6v1f","ATP6V1F"
"160","AbSC_Pos","Ddit4","DDIT4"
"161","AbSC_Pos","Arpc1b","ARPC1B"
"162","AbSC_Pos","Ddx24","DDX24"
"163","AbSC_Pos","Gpx2","GPX2"
"164","AbSC_Pos","Actn1","ACTN1"
"165","AbSC_Pos","Hnrnpa3","HNRNPA3"
"166","AbSC_Pos","Urah","URAH"
"167","AbSC_Pos","Ntmt1","NTMT1"
"168","AbSC_Pos","Ppp1ca","PPP1CA"
"169","AbSC_Pos","Ptms","PTMS"
"170","AbSC_Pos","Psma7","PSMA7"
"171","AbSC_Pos","Rpl41","RPL41"
"172","AbSC_Pos","Dnajc2","DNAJC2"
"173","AbSC_Pos","Cdk4","CDK4"
"174","AbSC_Pos","Snrpe","SNRPE"
"175","AbSC_Pos","H2afy","H2AFY"
"176","AbSC_Pos","Smarcc1","SMARCC1"
"177","AbSC_Pos","1810022K09Rik","1810022K09RIK"
"178","AbSC_Pos","Sox9","SOX9"
"179","AbSC_Pos","Rpl6","RPL6"
"180","AbSC_Pos","Rpl31","RPL31"
"181","AbSC_Pos","Psmd4","PSMD4"
"182","AbSC_Pos","Rnh1","RNH1"
"183","AbSC_Pos","Mafg","MAFG"
"184","AbSC_Pos","Csrp1","CSRP1"
"185","AbSC_Pos","Knop1","KNOP1"
"186","AbSC_Pos","Gnl3","GNL3"
"187","AbSC_Pos","Chd4","CHD4"
"188","AbSC_Pos","Ehf","EHF"
"189","AbSC_Pos","H2-T22","H2-T22"
"190","AbSC_Pos","Nedd4","NEDD4"
"191","AbSC_Pos","1110004F10Rik","1110004F10RIK"
"192","AbSC_Pos","Bcas2","BCAS2"
"193","AbSC_Pos","Mbd3","MBD3"
"194","AbSC_Pos","Cct5","CCT5"
"195","AbSC_Pos","Psmb5","PSMB5"
"196","AbSC_Pos","1500011B03Rik","1500011B03RIK"
"197","AbSC_Pos","H3f3b","H3F3B"
"198","AbSC_Pos","Parp14","PARP14"
"199","AbSC_Pos","Ptma","PTMA"
"200","AbSC_Pos","Irf1","IRF1"
"201","AbSC_Pos","Epb41l4aos","EPB41L4AOS"
"202","AbSC_Pos","2010111I01Rik","2010111I01RIK"
"203","AbSC_Pos","Tubb2b","TUBB2B"
"204","AbSC_Pos","Cenpm","CENPM"
"205","AbSC_Pos","Polr2f","POLR2F"
"206","AbSC_Pos","Rpl11","RPL11"
"207","AbSC_Pos","Tap1","TAP1"
"208","AbSC_Pos","Hnrnpdl","HNRNPDL"
"209","AbSC_Pos","Ube2s","UBE2S"
"210","AbSC_Pos","Nenf","NENF"
"211","AbSC_Pos","Srrm2","SRRM2"
"212","AbSC_Pos","Mt1","MT1"
"213","AbSC_Pos","Rpl38","RPL38"
"214","AbSC_Pos","Eif5a","EIF5A"
"215","AbSC_Pos","Cd24a","CD24A"
"216","AbSC_Pos","Snrpb","SNRPB"
"217","AbSC_Pos","Lsm7","LSM7"
"218","AbSC_Pos","Gipc1","GIPC1"
"219","AbSC_Pos","Kcne3","KCNE3"
"220","AbSC_Pos","Arid5b","ARID5B"
"221","AbSC_Pos","Tuba1b","TUBA1B"
"222","AbSC_Pos","Sssca1","SSSCA1"
"223","AbSC_Pos","Rps23","RPS23"
"224","AbSC_Pos","Tra2a","TRA2A"
"225","AbSC_Pos","Fdft1","FDFT1"
"226","AbSC_Pos","Id1","ID1"
"227","AbSC_Pos","H2-Aa","H2-AA"
"228","AbSC_Pos","Rpl27","RPL27"
"229","AbSC_Pos","Ptov1","PTOV1"
"230","AbSC_Pos","Grn","GRN"
"231","AbSC_Pos","Fbl","FBL"
"232","AbSC_Pos","Ube2l6","UBE2L6"
"233","AbSC_Pos","Myl12b","MYL12B"
"234","AbSC_Pos","Serbp1","SERBP1"
"235","AbSC_Pos","Aplp2","APLP2"
"236","AbSC_Pos","Mybbp1a","MYBBP1A"
"237","AbSC_Pos","Psmc4","PSMC4"
"238","AbSC_Pos","Qtrt1","QTRT1"
"239","AbSC_Pos","Med21","MED21"
"240","AbSC_Pos","Map1lc3b","MAP1LC3B"
"241","AbSC_Pos","Prom1","PROM1"
"242","AbSC_Pos","Lmo7","LMO7"
"243","AbSC_Pos","Tpi1","TPI1"
"244","AbSC_Pos","Rpl26","RPL26"
"245","AbSC_Pos","Srsf11","SRSF11"
"246","AbSC_Pos","Rpl19","RPL19"
"247","AbSC_Pos","Nme4","NME4"
"248","AbSC_Pos","Erh","ERH"
"249","AbSC_Pos","Rbm25","RBM25"
"250","AbSC_Pos","Npc2","NPC2"
"251","AbSC_Pos","Chic2","CHIC2"
"252","AbSC_Pos","Itga6","ITGA6"
"253","AbSC_Pos","Rps14","RPS14"
"254","AbSC_Pos","Rps19","RPS19"
"255","AbSC_Pos","Lgals9","LGALS9"
"256","AbSC_Pos","Tagln2","TAGLN2"
"257","AbSC_Pos","Cct7","CCT7"
"258","AbSC_Pos","Ppp1r2","PPP1R2"
"259","AbSC_Pos","Rpl14","RPL14"
"260","AbSC_Pos","Raly","RALY"
"261","AbSC_Pos","Tpm3","TPM3"
"262","AbSC_Pos","Ctsd","CTSD"
"263","AbSC_Pos","Btf3","BTF3"
"264","AbSC_Pos","Arpp19","ARPP19"
"265","AbSC_Pos","Cdca7","CDCA7"
"266","AbSC_Pos","Bola2","BOLA2"
"267","AbSC_Pos","Nolc1","NOLC1"
"268","AbSC_Pos","Psma2","PSMA2"
"269","AbSC_Pos","Acer2","ACER2"
"270","AbSC_Pos","Srsf7","SRSF7"
"271","AbSC_Pos","Bnip3l","BNIP3L"
"272","AbSC_Pos","Tcof1","TCOF1"
"273","AbSC_Pos","Sf3b3","SF3B3"
"274","AbSC_Pos","Eif3d","EIF3D"
"275","AbSC_Pos","Ilf2","ILF2"
"276","AbSC_Pos","Bclaf1","BCLAF1"
"277","AbSC_Pos","Snu13","SNU13"
"278","AbSC_Pos","Ebna1bp2","EBNA1BP2"
"279","AbSC_Pos","Snrpd1","SNRPD1"
"280","AbSC_Pos","Snrnp70","SNRNP70"
"281","AbSC_Pos","Ranbp1","RANBP1"
"282","AbSC_Pos","Ift43","IFT43"
"283","AbSC_Pos","Rps18","RPS18"
"284","AbSC_Pos","Ass1","ASS1"
"285","AbSC_Pos","Siva1","SIVA1"
"286","AbSC_Pos","Rplp0","RPLP0"
"287","AbSC_Pos","Lsr","LSR"
"288","AbSC_Pos","Rpl13a","RPL13A"
"289","AbSC_Pos","Rpl12","RPL12"
"290","AbSC_Pos","Tpm1","TPM1"
"291","AbSC_Pos","Vcp","VCP"
"292","AbSC_Pos","Pabpc1","PABPC1"
"293","AbSC_Pos","Cnbp","CNBP"
"294","AbSC_Pos","Mak16","MAK16"
"295","AbSC_Pos","Psmb4","PSMB4"
"296","AbSC_Pos","Srsf10","SRSF10"
"297","AbSC_Pos","Sumo2","SUMO2"
"298","AbSC_Pos","Ezh2","EZH2"
"299","AbSC_Pos","Epcam","EPCAM"
"300","AbSC_Pos","Ppp1r14b","PPP1R14B"
"301","AbSC_Pos","Gar1","GAR1"
"302","AbSC_Pos","G3bp2","G3BP2"
"303","AbSC_Pos","Fasn","FASN"
"304","AbSC_Pos","Psip1","PSIP1"
"305","AbSC_Pos","Pdap1","PDAP1"
"306","AbSC_Pos","Rpl4","RPL4"
"307","AbSC_Pos","Rps20","RPS20"
"308","AbSC_Pos","Rpl34","RPL34"
"309","AbSC_Pos","Clic4","CLIC4"
"310","AbSC_Pos","Laptm4a","LAPTM4A"
"311","AbSC_Pos","Rpl10a","RPL10A"
"312","AbSC_Pos","Ddx21","DDX21"
"313","AbSC_Pos","Exosc4","EXOSC4"
"314","AbSC_Pos","Rpl18a","RPL18A"
"315","AbSC_Pos","Rpl7","RPL7"
"316","AbSC_Pos","Rps5","RPS5"
"317","AbSC_Pos","Ssrp1","SSRP1"
"318","AbSC_Pos","Tst","TST"
"319","AbSC_Pos","Zfp36l1","ZFP36L1"
"320","AbSC_Pos","Mbnl1","MBNL1"
"321","AbSC_Pos","Map1lc3a","MAP1LC3A"
"322","AbSC_Pos","Cct2","CCT2"
"323","AbSC_Pos","Nmi","NMI"
"324","AbSC_Pos","Rpl27a","RPL27A"
"325","AbSC_Pos","Mrto4","MRTO4"
"326","AbSC_Pos","Pfdn2","PFDN2"
"327","AbSC_Pos","Eif2ak2","EIF2AK2"
"328","AbSC_Pos","Cuedc2","CUEDC2"
"329","AbSC_Pos","Psmb9","PSMB9"
"330","AbSC_Pos","Mtdh","MTDH"
"331","AbSC_Pos","Nop58","NOP58"
"332","AbSC_Pos","Lysmd2","LYSMD2"
"333","AbSC_Pos","Rps17","RPS17"
"334","AbSC_Pos","Tnfaip8l1","TNFAIP8L1"
"335","AbSC_Pos","Tuba1c","TUBA1C"
"336","AbSC_Pos","Smarce1","SMARCE1"
"337","AbSC_Pos","Slc38a2","SLC38A2"
"338","AbSC_Pos","Eif4ebp1","EIF4EBP1"
"339","AbSC_Pos","Vgll4","VGLL4"
"340","AbSC_Pos","Eef2","EEF2"
"341","AbSC_Pos","Rps9","RPS9"
"342","AbSC_Pos","H2afj","H2AFJ"
"343","AbSC_Pos","Zfp593","ZFP593"
"344","AbSC_Pos","Arl6ip4","ARL6IP4"
"345","AbSC_Pos","Eef1e1","EEF1E1"
"346","AbSC_Pos","Hnrnpu","HNRNPU"
"347","AbSC_Pos","Psmc3","PSMC3"
"348","AbSC_Pos","Atrx","ATRX"
"349","AbSC_Pos","Srrm1","SRRM1"
"350","AbSC_Pos","Rps25","RPS25"
"351","AbSC_Pos","Med10","MED10"
"352","AbSC_Pos","Tomm20","TOMM20"
"353","AbSC_Pos","Rplp2","RPLP2"
"354","AbSC_Pos","Grcc10","GRCC10"
"355","AbSC_Pos","Znhit1","ZNHIT1"
"356","AbSC_Pos","Akr1b3","AKR1B3"
"357","AbSC_Pos","Rpl3","RPL3"
"358","AbSC_Pos","F11r","F11R"
"359","AbSC_Pos","Rps12","RPS12"
"360","AbSC_Pos","Mcrip1","MCRIP1"
"361","AbSC_Pos","Uba52","UBA52"
"362","AbSC_Pos","Paics","PAICS"
"363","AbSC_Pos","Rpl24","RPL24"
"364","AbSC_Pos","Snrpf","SNRPF"
"365","AbSC_Pos","Mat2a","MAT2A"
"366","AbSC_Pos","Smarca5","SMARCA5"
"367","AbSC_Pos","Fcf1","FCF1"
"368","AbSC_Pos","Echdc2","ECHDC2"
"369","AbSC_Pos","Akap13","AKAP13"
"370","AbSC_Pos","Gch1","GCH1"
"371","AbSC_Pos","Hif1a","HIF1A"
"372","AbSC_Pos","Lars","LARS"
"373","AbSC_Pos","Stard10","STARD10"
"374","AbSC_Pos","Anp32b","ANP32B"
"375","AbSC_Pos","Ssb","SSB"
"376","AbSC_Pos","Hddc2","HDDC2"
"377","AbSC_Pos","Ddx39","DDX39"
"378","AbSC_Pos","Plscr1","PLSCR1"
"379","AbSC_Pos","Adrm1","ADRM1"
"380","AbSC_Pos","Sap30","SAP30"
"381","AbSC_Pos","Rabac1","RABAC1"
"382","AbSC_Pos","Tpd52l2","TPD52L2"
"383","AbSC_Pos","Tpm4","TPM4"
"384","AbSC_Pos","Hprt","HPRT"
"385","AbSC_Pos","Gadd45g","GADD45G"
"386","AbSC_Pos","Fdps","FDPS"
"387","AbSC_Pos","Nemf","NEMF"
"388","AbSC_Pos","Tcp1","TCP1"
"389","AbSC_Pos","Rplp1","RPLP1"
"390","AbSC_Pos","Apex1","APEX1"
"391","AbSC_Pos","Rps13","RPS13"
"392","AbSC_Pos","Bax","BAX"
"393","AbSC_Pos","Chd9","CHD9"
"394","AbSC_Pos","Rps28","RPS28"
"395","AbSC_Pos","Usp22","USP22"
"396","AbSC_Pos","Trib1","TRIB1"
"397","AbSC_Pos","Tpr","TPR"
"398","AbSC_Pos","Cnn3","CNN3"
"399","AbSC_Pos","Sars","SARS"
"400","AbSC_Pos","Rps6","RPS6"
"401","AbSC_Pos","Rabggtb","RABGGTB"
"402","AbSC_Pos","Gtpbp4","GTPBP4"
"403","AbSC_Pos","Fkbp3","FKBP3"
"404","AbSC_Pos","Lgals3bp","LGALS3BP"
"405","AbSC_Pos","Snrpd2","SNRPD2"
"406","AbSC_Pos","Scaf11","SCAF11"
"407","AbSC_Pos","Sertad1","SERTAD1"
"408","AbSC_Pos","Psmc6","PSMC6"
"409","AbSC_Pos","Park7","PARK7"
"410","AbSC_Pos","Dctn3","DCTN3"
"411","AbSC_Pos","Pgls","PGLS"
"412","AbSC_Pos","Atox1","ATOX1"
"413","AbSC_Pos","Rbx1","RBX1"
"414","AbSC_Pos","Sf3b2","SF3B2"
"415","AbSC_Pos","Pomp","POMP"
"416","AbSC_Pos","Capns1","CAPNS1"
"417","AbSC_Pos","Nsmce1","NSMCE1"
"418","AbSC_Pos","Ran","RAN"
"419","AbSC_Pos","Dcun1d5","DCUN1D5"
"420","AbSC_Pos","Snrpg","SNRPG"
"421","AbSC_Pos","Lyar","LYAR"
"422","AbSC_Pos","Nubp1","NUBP1"
"423","AbSC_Pos","Bola1","BOLA1"
"424","AbSC_Pos","Otub1","OTUB1"
"425","AbSC_Pos","1810058I24Rik","1810058I24RIK"
"426","AbSC_Pos","Prr15","PRR15"
"427","AbSC_Pos","Fam60a","FAM60A"
"428","AbSC_Pos","Trp53","TRP53"
"429","AbSC_Pos","Psmb6","PSMB6"
"430","AbSC_Pos","Ralbp1","RALBP1"
"431","AbSC_Pos","Csnk1a1","CSNK1A1"
"432","AbSC_Pos","Rpl37a","RPL37A"
"433","AbSC_Pos","Rpl17","RPL17"
"434","AbSC_Pos","Sdhaf1","SDHAF1"
"435","AbSC_Pos","Crb3","CRB3"
"436","AbSC_Pos","Ewsr1","EWSR1"
"437","AbSC_Pos","Nono","NONO"
"438","AbSC_Pos","Psmc2","PSMC2"
"439","AbSC_Pos","Pkm","PKM"
"440","AbSC_Pos","Rpl5","RPL5"
"441","AbSC_Pos","Psmg4","PSMG4"
"442","AbSC_Pos","Polr2g","POLR2G"
"443","AbSC_Pos","Rtf1","RTF1"
"444","AbSC_Pos","Eif1ax","EIF1AX"
"445","AbSC_Pos","Utp3","UTP3"
"446","AbSC_Pos","Rbm39","RBM39"
"447","AbSC_Pos","Sltm","SLTM"
"448","AbSC_Pos","Eif4g2","EIF4G2"
"449","AbSC_Pos","Rpl32","RPL32"
"450","AbSC_Pos","Srm","SRM"
"451","AbSC_Pos","Nras","NRAS"
"452","AbSC_Pos","Esf1","ESF1"
"453","AbSC_Pos","Cdc37","CDC37"
"454","AbSC_Pos","Psmb3","PSMB3"
"455","AbSC_Pos","Puf60","PUF60"
"456","AbSC_Pos","Ppan","PPAN"
"457","AbSC_Pos","Zfand5","ZFAND5"
"458","AbSC_Pos","Mrpl17","MRPL17"
"459","AbSC_Pos","Fam46a","FAM46A"
"460","AbSC_Pos","Pak2","PAK2"
"461","AbSC_Pos","Eif3a","EIF3A"
"462","AbSC_Pos","Gnai2","GNAI2"
"463","AbSC_Pos","Tia1","TIA1"
"464","AbSC_Pos","Fkbp1a","FKBP1A"
"465","AbSC_Pos","Ywhae","YWHAE"
"466","AbSC_Pos","Rpl37","RPL37"
"467","AbSC_Pos","Txndc9","TXNDC9"
"468","AbSC_Pos","Ufc1","UFC1"
"469","AbSC_Pos","Mphosph10","MPHOSPH10"
"470","AbSC_Pos","Rpl35","RPL35"
"471","AbSC_Pos","Pafah1b3","PAFAH1B3"
"472","AbSC_Pos","Hmga1","HMGA1"
"473","AbSC_Pos","Lmna","LMNA"
"474","AbSC_Pos","Pak1","PAK1"
"475","AbSC_Pos","Pa2g4","PA2G4"
"476","AbSC_Pos","Trappc6a","TRAPPC6A"
"477","AbSC_Pos","H3f3a","H3F3A"
"478","AbSC_Pos","Kif5b","KIF5B"
"479","AbSC_Pos","Rpl13","RPL13"
"480","AbSC_Pos","Hmgb1","HMGB1"
"481","AbSC_Pos","Cct3","CCT3"
"482","AbSC_Pos","Nol12","NOL12"
"483","AbSC_Pos","Ifi35","IFI35"
"484","AbSC_Pos","Eif3g","EIF3G"
"485","AbSC_Pos","Ruvbl1","RUVBL1"
"486","AbSC_Pos","U2af1","U2AF1"
"487","AbSC_Pos","Slc25a17","SLC25A17"
"488","AbSC_Pos","Sqstm1","SQSTM1"
"489","AbSC_Pos","Rbbp4","RBBP4"
"490","AbSC_Pos","Mvb12a","MVB12A"
"491","AbSC_Pos","Eif2s1","EIF2S1"
"492","AbSC_Pos","Ube2e1","UBE2E1"
"493","AbSC_Pos","Psma1","PSMA1"
"494","AbSC_Pos","Sigmar1","SIGMAR1"
"495","AbSC_Pos","Prrc2c","PRRC2C"
"496","AbSC_Pos","Ifrd1","IFRD1"
"497","AbSC_Pos","Plp2","PLP2"
"498","AbSC_Pos","Eif3k","EIF3K"
"499","AbSC_Pos","Ptrh2","PTRH2"
"500","AbSC_Pos","Tmed5","TMED5"
"501","AbSC_Pos","Pfdn4","PFDN4"
"502","AbSC_Pos","Exosc5","EXOSC5"
"503","AbSC_Pos","Ppib","PPIB"
"504","AbSC_Pos","Cbx3","CBX3"
"505","AbSC_Pos","Cldn2","CLDN2"
"506","AbSC_Pos","Ttc3","TTC3"
"507","AbSC_Pos","Ubxn1","UBXN1"
"508","AbSC_Pos","Spag7","SPAG7"
"509","AbSC_Pos","Wars","WARS"
"510","AbSC_Pos","Rpl23a","RPL23A"
"511","AbSC_Pos","Dnajc8","DNAJC8"
"512","AbSC_Pos","Brix1","BRIX1"
"513","AbSC_Pos","Strap","STRAP"
"514","AbSC_Pos","Ddx18","DDX18"
"515","AbSC_Pos","Trim28","TRIM28"
"516","AbSC_Pos","Acin1","ACIN1"
"517","AbSC_Pos","Dnajb6","DNAJB6"
"518","AbSC_Pos","Bcl3","BCL3"
"519","AbSC_Pos","Psmb7","PSMB7"
"520","AbSC_Pos","Junb","JUNB"
"521","AbSC_Pos","Laptm4b","LAPTM4B"
"522","AbSC_Pos","Psmc5","PSMC5"
"523","AbSC_Pos","Cct8","CCT8"
"524","AbSC_Pos","Picalm","PICALM"
"525","AbSC_Pos","Cd151","CD151"
"526","AbSC_Pos","Ddx39b","DDX39B"
"527","AbSC_Pos","Nip7","NIP7"
"528","AbSC_Pos","Pttg1","PTTG1"
"529","AbSC_Pos","Rsrc2","RSRC2"
"530","AbSC_Pos","Hmgb3","HMGB3"
"531","AbSC_Pos","Comt","COMT"
"532","AbSC_Pos","Aimp1","AIMP1"
"533","AbSC_Pos","Nasp","NASP"
"534","AbSC_Pos","Dhrs7","DHRS7"
"535","AbSC_Pos","Med28","MED28"
"536","AbSC_Pos","Snrpd3","SNRPD3"
"537","AbSC_Pos","Actb","ACTB"
"538","AbSC_Pos","Cops5","COPS5"
"539","AbSC_Pos","Ascc3","ASCC3"
"540","AbSC_Pos","Leprotl1","LEPROTL1"
"541","AbSC_Pos","Tuba4a","TUBA4A"
"542","AbSC_Pos","Psmb1","PSMB1"
"543","AbSC_Pos","Smarcb1","SMARCB1"
"544","AbSC_Pos","H2-DMa","H2-DMA"
"545","AbSC_Pos","Ascl2","ASCL2"
"546","AbSC_Pos","Sptssa","SPTSSA"
"547","AbSC_Pos","Rnps1","RNPS1"
"548","AbSC_Pos","Cebpz","CEBPZ"
"549","AbSC_Pos","Prpf40a","PRPF40A"
"550","AbSC_Pos","Dhx9","DHX9"
"551","AbSC_Pos","Anxa7","ANXA7"
"552","AbSC_Pos","Snrpa","SNRPA"
"553","AbSC_Pos","Eif3m","EIF3M"
"554","AbSC_Pos","Ubald2","UBALD2"
"555","AbSC_Pos","Nr2c2ap","NR2C2AP"
"556","AbSC_Pos","Rps8","RPS8"
"557","AbSC_Pos","Ccdc12","CCDC12"
"558","AbSC_Pos","Psmc1","PSMC1"
"559","AbSC_Pos","Srsf5","SRSF5"
"560","AbSC_Pos","Rack1","RACK1"
"561","AbSC_Pos","Swi5","SWI5"
"562","AbSC_Pos","Eif5","EIF5"
"563","AbSC_Pos","Tsg101","TSG101"
"564","AbSC_Pos","Stub1","STUB1"
