"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PPM1H",0,0.515258771443492,0.509,0.191,0,"Stem","PPM1H"
"DNAH14",0,0.513180703270501,0.653,0.34,0,"Stem","DNAH14"
"CHRM3",0,0.511131152947294,0.804,0.485,0,"Stem","CHRM3"
"ARID5B",0,0.511071345849673,0.699,0.39,0,"Stem","ARID5B"
"BCL2",0,0.508217516005219,0.727,0.394,0,"Stem","BCL2"
"BCL11A",0,0.506342331983683,0.632,0.327,0,"Stem","BCL11A"
"SORBS2",0,0.495629440934805,0.762,0.474,0,"Stem","SORBS2"
"FGGY",0,0.493089629600873,0.672,0.396,0,"Stem","FGGY"
"NR6A1",0,0.482397897692791,0.855,0.6,0,"Stem","NR6A1"
"RUBCNL",0,0.481290005434339,0.474,0.211,0,"Stem","RUBCNL"
"HUNK",0,0.473876584031465,0.497,0.221,0,"Stem","HUNK"
"FOXP2",0,0.473149271319769,0.887,0.617,0,"Stem","FOXP2"
"LINC01184",0,0.472776521264491,0.66,0.371,0,"Stem","LINC01184"
"NEBL",0,0.467672574418436,0.684,0.337,0,"Stem","NEBL"
"CDHR1",0,0.466179661017519,0.528,0.23,0,"Stem","CDHR1"
"L3MBTL4",0,0.455108880663829,0.591,0.304,0,"Stem","L3MBTL4"
"KIAA1324",0,0.453497532416022,0.619,0.258,0,"Stem","KIAA1324"
"ST6GAL1",0,0.448542839875378,0.486,0.162,0,"Stem","ST6GAL1"
"CMSS1",0,0.448287752848459,0.511,0.224,0,"Stem","CMSS1"
"PTPRD",0,0.440996056303158,0.86,0.667,0,"Stem","PTPRD"
"GABPB1-AS1",0,0.437416029559712,0.532,0.244,0,"Stem","GABPB1-AS1"
"NAALADL2",0,0.431217971246776,0.933,0.713,0,"Stem","NAALADL2"
"NFIA",0,0.430238988072438,0.899,0.658,0,"Stem","NFIA"
"IGF1R",0,0.429085066324195,0.792,0.531,0,"Stem","IGF1R"
"PDZRN3",0,0.425702957217447,0.617,0.225,0,"Stem","PDZRN3"
"FHIT",0,0.419639674122368,0.925,0.724,0,"Stem","FHIT"
"ITGA6",0,0.419509913047728,0.867,0.668,0,"Stem","ITGA6"
"UTRN",0,0.409880251494549,0.822,0.568,0,"Stem","UTRN"
"ITGB8",0,0.40976871380317,0.442,0.18,0,"Stem","ITGB8"
"NBEA",0,0.409382597673888,0.54,0.234,0,"Stem","NBEA"
"CD44",0,0.408444073611942,0.63,0.291,0,"Stem","CD44"
"AL359232.1",0,0.403310959970579,0.306,0.103,0,"Stem","AL359232.1"
"GABRB2",0,0.401765735767099,0.278,0.062,0,"Stem","GABRB2"
"APOLD1",0,0.393850532247633,0.303,0.096,0,"Stem","APOLD1"
"RORA",0,0.373185581114368,0.554,0.226,0,"Stem","RORA"
"SATB1-AS1",0,0.348991624185602,0.295,0.089,0,"Stem","SATB1-AS1"
"L1TD1",0,0.344579148490888,0.326,0.103,0,"Stem","L1TD1"
"ARHGAP24",0,0.337269608443265,0.471,0.163,0,"Stem","ARHGAP24"
"FHOD3",0,0.33263786618255,0.267,0.072,0,"Stem","FHOD3"
"TRIO",0,0.277310687456703,0.921,0.807,0,"Stem","TRIO"
"BICC1",0,0.260323234307655,0.317,0.094,0,"Stem","BICC1"
"MIPOL1",1.15735615188458e-307,0.42703864618544,0.524,0.255,5.09468178059594e-303,"Stem","MIPOL1"
"TRIM2",5.40792507044215e-304,0.354517541119957,0.867,0.684,2.38056861600863e-299,"Stem","TRIM2"
"CCDC88B",2.89147300838897e-303,0.286052560042758,0.253,0.074,1.27282641829283e-298,"Stem","CCDC88B"
"FERMT1",1.50587021235774e-296,0.445336827378762,0.597,0.334,6.62884067479878e-292,"Stem","FERMT1"
"PIK3R1",3.02673017987568e-295,0.419057546221127,0.727,0.488,1.33236662518127e-290,"Stem","PIK3R1"
"TTC39C",1.59435040308761e-294,0.252185989313519,0.337,0.119,7.01833047439166e-290,"Stem","TTC39C"
"ADAMTSL1",3.15476005498841e-293,0.417552635991094,0.898,0.689,1.3887253762059e-288,"Stem","ADAMTSL1"
"LINC00970",5.54709111970525e-287,0.431953415398689,0.344,0.133,2.44182951089425e-282,"Stem","LINC00970"
"EPHA4",1.40373147158048e-285,0.362569889748182,0.44,0.189,6.17922593789726e-281,"Stem","EPHA4"
"SEMA3C",2.094102603954e-285,0.437739430684726,0.737,0.5,9.2182396626055e-281,"Stem","SEMA3C"
"NRXN3",8.12620247771453e-283,0.285984469391836,0.325,0.118,3.57715433068994e-278,"Stem","NRXN3"
"SRPK1",2.10262702070174e-281,0.417652073100633,0.712,0.477,9.25576414512906e-277,"Stem","SRPK1"
"SH3D19",1.80604732023184e-279,0.251005985803567,0.93,0.827,7.95022030366057e-275,"Stem","SH3D19"
"AC113383.1",6.62006415693599e-277,0.392968660546977,0.356,0.141,2.91415224188322e-272,"Stem","AC113383.1"
"MLXIP",7.90150348885421e-276,0.38730643027557,0.792,0.577,3.47824183579362e-271,"Stem","MLXIP"
"ZBTB38",9.77257495454852e-275,0.411864547238423,0.746,0.522,4.30188749499226e-270,"Stem","ZBTB38"
"CNTN4",5.39049017152893e-272,0.428987189534994,0.795,0.527,2.37289377350704e-267,"Stem","CNTN4"
"BLNK",1.09935405357047e-270,0.386282208211119,0.463,0.221,4.83935654381721e-266,"Stem","BLNK"
"GLIS3",1.06822329640694e-266,0.465456615109003,0.671,0.403,4.70231895078336e-262,"Stem","GLIS3"
"TARBP1",2.37126900666685e-265,0.397348985797284,0.569,0.312,1.04383261673475e-260,"Stem","TARBP1"
"MYB",6.997659791078e-265,0.414589876676538,0.552,0.293,3.08036984003254e-260,"Stem","MYB"
"LDLRAD4",2.993123391635e-261,0.357973780655411,0.869,0.65,1.31757291699773e-256,"Stem","LDLRAD4"
"ABO",1.52950659181323e-259,0.398855103021896,0.712,0.491,6.73288801716186e-255,"Stem","ABO"
"SLC19A3",1.20679058438201e-256,0.303038350136328,0.258,0.087,5.31229215244962e-252,"Stem","SLC19A3"
"ABCC4",6.87125333479135e-256,0.317286686428345,0.448,0.205,3.02472571797515e-251,"Stem","ABCC4"
"KCNH8",2.41916224389781e-255,0.266230416724206,0.302,0.106,1.06491521976382e-250,"Stem","KCNH8"
"ZFHX3",7.78311000494063e-255,0.377804705422794,0.666,0.391,3.42612502417487e-250,"Stem","ZFHX3"
"PCNX2",1.73959017911949e-253,0.335515213177355,0.406,0.178,7.65767596848399e-249,"Stem","PCNX2"
"TBC1D4",1.87494271951736e-250,0.408947456026805,0.605,0.357,8.25349785131543e-246,"Stem","TBC1D4"
"SLC16A10",2.9853069725375e-247,0.316976085567569,0.306,0.115,1.31413212931101e-242,"Stem","SLC16A10"
"LINC01515",3.3184859086862e-247,0.438133237256141,0.606,0.35,1.46079749700367e-242,"Stem","LINC01515"
"APLF",3.56792425675958e-242,0.266733361784633,0.265,0.092,1.57060025782557e-237,"Stem","APLF"
"TAF4B",1.76857755960251e-241,0.257970105199754,0.297,0.11,7.78527841737023e-237,"Stem","TAF4B"
"CCSER2",3.48841582754068e-240,0.403246560190559,0.672,0.452,1.53560064728341e-235,"Stem","CCSER2"
"SHANK2",7.86989868182991e-239,0.383336165210919,0.697,0.44,3.46432939974153e-234,"Stem","SHANK2"
"MECOM",2.44645610708134e-236,0.283254931181553,0.946,0.813,1.07692997833721e-231,"Stem","MECOM"
"SMARCC1",2.41049183202478e-234,0.362752934343274,0.705,0.462,1.06109850445731e-229,"Stem","SMARCC1"
"ZBTB20",2.02807327255598e-233,0.272583161036641,0.921,0.784,8.9275785457914e-229,"Stem","ZBTB20"
"TSPOAP1-AS1",4.7138638220622e-232,0.356636225519075,0.353,0.155,2.07504285447178e-227,"Stem","TSPOAP1-AS1"
"NOTCH1",1.23785073385922e-231,0.32692914097983,0.346,0.147,5.44901893044829e-227,"Stem","NOTCH1"
"TRAF5",7.2697092658027e-230,0.313927824789271,0.401,0.185,3.20012601880635e-225,"Stem","TRAF5"
"NARS2",2.55941223195031e-228,0.341422541607551,0.417,0.199,1.12665326450453e-223,"Stem","NARS2"
"KAZN",6.0090715146768e-226,0.329148293215815,0.877,0.705,2.64519328076073e-221,"Stem","KAZN"
"AL391117.1",1.68168135375085e-225,0.441105432115161,0.366,0.164,7.40276131921125e-221,"Stem","AL391117.1"
"KALRN",4.30669824565911e-225,0.390625747678322,0.657,0.438,1.89580856773914e-220,"Stem","KALRN"
"RBFOX1",1.87769375444869e-224,0.382102685584209,0.852,0.613,8.26560790708315e-220,"Stem","RBFOX1"
"LAMB1",4.55048499229442e-223,0.354675041198077,0.585,0.333,2.00312349360801e-218,"Stem","LAMB1"
"AXIN2",6.25334909130224e-223,0.261620405652237,0.27,0.099,2.75272426999125e-218,"Stem","AXIN2"
"FTX",8.5844918174952e-223,0.256568261309947,0.916,0.788,3.77889329806139e-218,"Stem","FTX"
"METAP1D",9.43650611331996e-223,0.26959588390975,0.267,0.098,4.15394999108345e-218,"Stem","METAP1D"
"RANBP17",1.03496877032412e-222,0.390559354916447,0.615,0.366,4.55593252696678e-218,"Stem","RANBP17"
"DDX10",2.26301703274399e-220,0.361990011886754,0.528,0.289,9.96180097813905e-216,"Stem","DDX10"
"CHD6",1.24327589220853e-218,0.350762226510673,0.642,0.394,5.47290047750197e-214,"Stem","CHD6"
"TMEM63A",2.49582009359437e-217,0.360140245538698,0.611,0.379,1.09866000520024e-212,"Stem","TMEM63A"
"PDZD8",7.21190825741461e-217,0.367956236870997,0.673,0.462,3.17468201491391e-212,"Stem","PDZD8"
"TTC27",4.41620268358972e-214,0.315689106715698,0.403,0.192,1.94401242131619e-209,"Stem","TTC27"
"FAM171A1",1.92386486383824e-213,0.363241976248628,0.684,0.475,8.46885313061593e-209,"Stem","FAM171A1"
"SATB2-AS1",4.00779840077835e-213,0.373789116459183,0.558,0.328,1.76423285602263e-208,"Stem","SATB2-AS1"
"MAP3K20",2.98978202342274e-212,0.252540874050938,0.341,0.145,1.31610204671069e-207,"Stem","MAP3K20"
"NUBPL",9.03898569719154e-210,0.358063524425314,0.526,0.296,3.97896150390372e-205,"Stem","NUBPL"
"SUPT3H",1.33320695500624e-207,0.334512605250593,0.466,0.241,5.86877701593748e-203,"Stem","SUPT3H"
"HNF1A-AS1",1.77712570720015e-206,0.411989658233435,0.626,0.425,7.82290736309506e-202,"Stem","HNF1A-AS1"
"DOCK10",4.44307645243024e-206,0.296352051650873,0.44,0.213,1.95584225435979e-201,"Stem","DOCK10"
"SOX4",4.85233765021884e-205,0.313139752722641,0.319,0.135,2.13599903362633e-200,"Stem","SOX4"
"UBE3D",7.11762473990612e-203,0.341406705984245,0.434,0.222,3.13317841050668e-198,"Stem","UBE3D"
"FMNL2",4.32522009593495e-198,0.355208976543525,0.662,0.422,1.90396188623057e-193,"Stem","FMNL2"
"PPP1R9A",5.50209870084862e-196,0.332659392559622,0.774,0.569,2.42202384811356e-191,"Stem","PPP1R9A"
"STAMBPL1",1.60900519977601e-194,0.354657163041479,0.495,0.283,7.082840889414e-190,"Stem","STAMBPL1"
"MNAT1",1.88053347617377e-194,0.32808911712309,0.524,0.298,8.27810836211695e-190,"Stem","MNAT1"
"LRMDA",2.63884005281127e-193,0.365820066361892,0.619,0.367,1.16161739124752e-188,"Stem","LRMDA"
"NDUFAF2",1.4173307441208e-192,0.34284538876186,0.528,0.302,6.23908993561975e-188,"Stem","NDUFAF2"
"SHROOM4",1.37846205031281e-191,0.306737384971407,0.324,0.144,6.06798994547698e-187,"Stem","SHROOM4"
"PUS7",4.17057487732832e-191,0.292379998543526,0.338,0.153,1.83588706099993e-186,"Stem","PUS7"
"ADK",3.30330954281336e-187,0.330598468773515,0.764,0.564,1.45411686074644e-182,"Stem","ADK"
"ZNF704",1.44382166814027e-186,0.344425005057117,0.699,0.488,6.35570298315347e-182,"Stem","ZNF704"
"SEMA5A",5.65549637855007e-186,0.357097989485053,0.749,0.541,2.48954950583774e-181,"Stem","SEMA5A"
"SGK3",1.20379456002718e-184,0.356021536177811,0.624,0.428,5.29910365323967e-180,"Stem","SGK3"
"FRMD5",1.49884655465271e-184,0.373713275421779,0.421,0.218,6.59792253358121e-180,"Stem","FRMD5"
"PUM3",1.3424781993593e-181,0.329822833872231,0.56,0.34,5.90958903357962e-177,"Stem","PUM3"
"ENAH",5.41921532680872e-181,0.276809809370385,0.448,0.237,2.3855385868612e-176,"Stem","ENAH"
"FARSB",1.00656701588415e-179,0.333736031634692,0.494,0.286,4.43090800392201e-175,"Stem","FARSB"
"GPRIN3",2.92635332629328e-178,0.322963059346073,0.569,0.336,1.2881807342343e-173,"Stem","GPRIN3"
"SLC9A2",4.12541757636811e-174,0.317003597194435,0.761,0.569,1.81600881711724e-169,"Stem","SLC9A2"
"ITGA2",4.79733884643365e-174,0.316392727481698,0.479,0.271,2.11178856020009e-169,"Stem","ITGA2"
"SASH1",8.62605496100005e-172,0.298611527696536,0.446,0.243,3.79718939383222e-167,"Stem","SASH1"
"WDR43",1.1389074156958e-171,0.313160611119025,0.51,0.302,5.01347044389292e-167,"Stem","WDR43"
"CTDSPL",3.04128875433031e-169,0.334012513548037,0.649,0.449,1.3387753096562e-164,"Stem","CTDSPL"
"KANTR",7.2002742428798e-168,0.298332797153742,0.45,0.251,3.16956072171569e-163,"Stem","KANTR"
"SCFD2",9.35089924439e-168,0.329019337439707,0.659,0.434,4.11626584738048e-163,"Stem","SCFD2"
"GTF2IRD1",2.87030856972747e-167,0.296715102781034,0.417,0.221,1.26350983239403e-162,"Stem","GTF2IRD1"
"PRKAG2",1.05645905923832e-166,0.315686977928046,0.76,0.537,4.65053277876708e-162,"Stem","PRKAG2"
"NOX1",2.86679350003693e-165,0.362596869794088,0.46,0.261,1.26196249871626e-160,"Stem","NOX1"
"DIP2C",5.47205121992235e-165,0.29200361116418,0.583,0.358,2.40879694700982e-160,"Stem","DIP2C"
"DEPTOR",3.42944583344479e-164,0.274267545353964,0.386,0.196,1.5096420558824e-159,"Stem","DEPTOR"
"NOP58",1.95073717233019e-162,0.294387668623347,0.484,0.278,8.58714503259751e-158,"Stem","NOP58"
"PRMT3",9.14283702305115e-162,0.311528905630504,0.46,0.265,4.02467685754711e-157,"Stem","PRMT3"
"CELF2",1.59419980296017e-161,0.301664439286815,0.764,0.519,7.01766753263066e-157,"Stem","CELF2"
"CCND2",3.45682222154999e-161,0.293123842721904,0.451,0.253,1.52169314192631e-156,"Stem","CCND2"
"ST6GALNAC3",4.47148107700221e-161,0.306916352469438,0.512,0.293,1.96834597009637e-156,"Stem","ST6GALNAC3"
"DPP10",1.30207945647979e-160,0.348729713688801,0.697,0.512,5.73175376742402e-156,"Stem","DPP10"
"CCDC14",2.57898505689773e-159,0.296411595977925,0.755,0.564,1.13526922204638e-154,"Stem","CCDC14"
"CD46",1.02864910347013e-158,0.298464476968408,0.704,0.522,4.52811335347551e-154,"Stem","CD46"
"SUCLG2",2.01932994359188e-158,0.267744844663565,0.83,0.674,8.88909041169145e-154,"Stem","SUCLG2"
"ZFP36L2",4.35858105993632e-158,0.316845262722449,0.623,0.415,1.91864738258397e-153,"Stem","ZFP36L2"
"NPNT",1.38255701451218e-157,0.315473563446522,0.468,0.27,6.08601597788263e-153,"Stem","NPNT"
"MTAP",7.0388673217628e-157,0.314879216720509,0.461,0.266,3.09850939503999e-152,"Stem","MTAP"
"ATR",9.50322239862256e-157,0.308261722064479,0.585,0.378,4.18331849987365e-152,"Stem","ATR"
"SUCLG2-AS1",1.82282782691337e-156,0.326032897116556,0.372,0.195,8.02408809407264e-152,"Stem","SUCLG2-AS1"
"ANKRD36",3.13119531968477e-156,0.278212944792261,0.54,0.322,1.37835217972524e-151,"Stem","ANKRD36"
"KIF13A",2.97876247130495e-155,0.29545831966385,0.761,0.589,1.31125123986844e-150,"Stem","KIF13A"
"EHBP1",3.80088256054488e-155,0.30290092449115,0.683,0.47,1.67314850315186e-150,"Stem","EHBP1"
"TUT4",7.06674141814899e-155,0.283216797389338,0.487,0.287,3.11077957226919e-150,"Stem","TUT4"
"MIR181A2HG",1.27658451022637e-154,0.276318271997278,0.302,0.144,5.61952501401647e-150,"Stem","MIR181A2HG"
"APBB2",1.769918827341e-154,0.30565723564677,0.722,0.556,7.7911826779551e-150,"Stem","APBB2"
"ATP11A",6.18202710846331e-154,0.250046430984446,0.326,0.158,2.72132833314555e-149,"Stem","ATP11A"
"NECTIN3",7.23005854797259e-154,0.33968310858413,0.561,0.368,3.18267177281753e-149,"Stem","NECTIN3"
"CAMKMT",8.43252296625729e-154,0.290657585923593,0.783,0.612,3.71199660974646e-149,"Stem","CAMKMT"
"REV3L",4.22139097516258e-153,0.294584714012635,0.705,0.505,1.85825630726657e-148,"Stem","REV3L"
"GK5",7.94105620011071e-153,0.309368017377661,0.598,0.414,3.49565293928874e-148,"Stem","GK5"
"PRKDC",2.17012634915347e-152,0.305008344073826,0.6,0.394,9.55289618897358e-148,"Stem","PRKDC"
"STXBP6",2.8118185888888e-152,0.314096799441087,0.678,0.456,1.23776254282885e-147,"Stem","STXBP6"
"NRIP1",1.73012616183175e-151,0.279447389428763,0.776,0.63,7.61601536438338e-147,"Stem","NRIP1"
"STARD13",2.60722869366908e-150,0.292436695606833,0.735,0.562,1.14770207095313e-145,"Stem","STARD13"
"SLC44A3",9.85962303579104e-149,0.305597750982414,0.642,0.443,4.34020606035521e-144,"Stem","SLC44A3"
"ADAT2",1.46810389082916e-148,0.252131101931081,0.312,0.152,6.46259332742995e-144,"Stem","ADAT2"
"CPSF6",8.95313134814948e-148,0.291493251353003,0.597,0.406,3.9411684194554e-143,"Stem","CPSF6"
"SLC25A36",1.94038348954955e-146,0.293550574513501,0.569,0.376,8.54156812099713e-142,"Stem","SLC25A36"
"GRM8",2.26922626289604e-146,0.308789106758701,0.307,0.147,9.98913400926837e-142,"Stem","GRM8"
"CASK",4.92519285740184e-146,0.262173829138167,0.796,0.647,2.16806989582829e-141,"Stem","CASK"
"PCCA",1.3982468694742e-145,0.26047277266136,0.874,0.709,6.15508271942545e-141,"Stem","PCCA"
"PREP",2.07749135478629e-145,0.291977331853714,0.694,0.523,9.14511694376923e-141,"Stem","PREP"
"PHF14",2.6516771692818e-145,0.292729906065568,0.689,0.502,1.16726828991785e-140,"Stem","PHF14"
"AP002026.1",2.93426082591289e-145,0.300307065504371,0.329,0.168,1.29166161556685e-140,"Stem","AP002026.1"
"PRKN",1.1224337834143e-143,0.327173411026184,0.619,0.426,4.94095351458976e-139,"Stem","PRKN"
"ACBD6",2.62080133556625e-143,0.293505866020819,0.588,0.391,1.15367674791626e-138,"Stem","ACBD6"
"OLFM4",3.57724845044959e-143,0.410259388978664,0.454,0.268,1.57470476788791e-138,"Stem","OLFM4"
"LYRM4",5.37460837643359e-143,0.271578214082663,0.36,0.19,2.36590260730607e-138,"Stem","LYRM4"
"FOXN3",1.96168630089924e-142,0.25818959649774,0.832,0.674,8.63534309655846e-138,"Stem","FOXN3"
"SCMH1",3.07152226110403e-142,0.291741221657279,0.711,0.519,1.35208409933799e-137,"Stem","SCMH1"
"TAF1D",1.10218543417032e-141,0.284373938007343,0.658,0.473,4.85182028121777e-137,"Stem","TAF1D"
"WDR27",1.80593648222214e-141,0.279531991081539,0.434,0.253,7.94973239474188e-137,"Stem","WDR27"
"POLA1",3.01323512328472e-141,0.288004480092515,0.448,0.257,1.32642610126993e-136,"Stem","POLA1"
"MLEC",5.49275272600333e-141,0.291560999349757,0.544,0.349,2.41790974998667e-136,"Stem","MLEC"
"RFX3",5.87723750560351e-141,0.293459376640294,0.61,0.41,2.58715994996666e-136,"Stem","RFX3"
"FARS2",9.06697079899283e-140,0.292174981389969,0.67,0.486,3.99128054571665e-135,"Stem","FARS2"
"PUM1",8.48734125785949e-139,0.252590312982448,0.779,0.63,3.73612762170975e-134,"Stem","PUM1"
"MLLT3",8.97519644020629e-139,0.282687264668331,0.802,0.623,3.95088147297881e-134,"Stem","MLLT3"
"AC019330.1",1.58410216018687e-138,0.331513971031787,0.728,0.55,6.97321770914259e-134,"Stem","AC019330.1"
"TASP1",3.79181952414653e-137,0.288845920332345,0.655,0.471,1.6691589545293e-132,"Stem","TASP1"
"ARHGEF10L",1.4553592189128e-136,0.270216729191636,0.757,0.586,6.40649128165417e-132,"Stem","ARHGEF10L"
"PTPN4",3.11834782145078e-135,0.283918326398777,0.6,0.41,1.37269671100263e-130,"Stem","PTPN4"
"FARP1",1.52948162522431e-134,0.286592836852748,0.644,0.456,6.7327781142374e-130,"Stem","FARP1"
"TBC1D5",4.02907527514374e-134,0.268575143402725,0.783,0.621,1.77359893611828e-129,"Stem","TBC1D5"
"ZNF69",1.75760967416348e-133,0.303275815380977,0.472,0.295,7.73699778566764e-129,"Stem","ZNF69"
"ADGRA3",5.99343828676557e-126,0.255200873484572,0.787,0.62,2.6383115338342e-121,"Stem","ADGRA3"
"MDN1",3.02565903440198e-124,0.265080335849299,0.513,0.327,1.33189510694375e-119,"Stem","MDN1"
"PAXBP1",3.27750366767263e-124,0.267567972298231,0.583,0.4,1.44275711450949e-119,"Stem","PAXBP1"
"ENOSF1",4.41733421924017e-124,0.271554978241576,0.649,0.476,1.94451052330952e-119,"Stem","ENOSF1"
"AC118549.1",1.19937351211858e-123,0.27684584828684,0.612,0.434,5.27964220034599e-119,"Stem","AC118549.1"
"LRPPRC",1.50989624427013e-123,0.270551699531619,0.637,0.455,6.64656326727709e-119,"Stem","LRPPRC"
"ILF3",4.21917999172954e-122,0.257796268198166,0.497,0.313,1.85728303235934e-117,"Stem","ILF3"
"MACROD2",3.30856894360432e-121,0.310431050696088,0.577,0.397,1.45643204897462e-116,"Stem","MACROD2"
"ENPP3",9.35010108339742e-121,0.298072861809661,0.392,0.237,4.11591449691154e-116,"Stem","ENPP3"
"PIAS2",1.04273025719675e-120,0.262425015631861,0.558,0.376,4.5900985921801e-116,"Stem","PIAS2"
"STOX2",2.57888327954166e-120,0.279394273591465,0.283,0.143,1.13522441965424e-115,"Stem","STOX2"
"COA1",4.85457730231057e-120,0.262541194379617,0.56,0.378,2.13698492847711e-115,"Stem","COA1"
"PRKAR1B",3.09980571950143e-119,0.262824282786561,0.344,0.19,1.36453447772453e-114,"Stem","PRKAR1B"
"GRIP1",3.26954471365966e-119,0.298564608975986,0.531,0.351,1.43925358295298e-114,"Stem","GRIP1"
"ZMYM4",3.46127864376753e-119,0.26569431589136,0.607,0.424,1.52365485898647e-114,"Stem","ZMYM4"
"MACC1",3.69605046436827e-119,0.286577084276528,0.457,0.286,1.62700141441491e-114,"Stem","MACC1"
"DPH6",1.10803791477732e-118,0.290048973365942,0.64,0.472,4.87758290084974e-114,"Stem","DPH6"
"STX18-AS1",4.8505403115802e-118,0.278700048272168,0.389,0.229,2.13520784515761e-113,"Stem","STX18-AS1"
"TFDP2",2.37299441478555e-117,0.273091188190596,0.649,0.481,1.0445921413886e-112,"Stem","TFDP2"
"CCDC138",9.14217630383114e-117,0.250208093917402,0.317,0.171,4.02438600894647e-112,"Stem","CCDC138"
"MAST4",3.80296868841767e-116,0.266466487000139,0.511,0.337,1.67406681664146e-111,"Stem","MAST4"
"REPS2",1.79592407313622e-115,0.299104244759039,0.471,0.312,7.90565776994564e-111,"Stem","REPS2"
"FANCL",5.16344798949027e-115,0.264525629059346,0.473,0.305,2.27294980497362e-110,"Stem","FANCL"
"ANKDD1B",8.25863010210906e-115,0.269724848874399,0.422,0.258,3.63544897094841e-110,"Stem","ANKDD1B"
"SPAG1",2.08388192581975e-114,0.291322078120578,0.534,0.377,9.17324823745853e-110,"Stem","SPAG1"
"FAM83B",2.23304447760142e-114,0.270754664734968,0.654,0.501,9.82986179040145e-110,"Stem","FAM83B"
"SMARCAD1",4.81530685259034e-114,0.250241406558987,0.477,0.307,2.11969807651027e-109,"Stem","SMARCAD1"
"SCAI",7.84844779277828e-114,0.253433047862203,0.418,0.253,3.454886718381e-109,"Stem","SCAI"
"FOCAD",1.01931319835594e-113,0.264081668922049,0.651,0.478,4.48701669916284e-109,"Stem","FOCAD"
"CEP83",1.01525806312522e-110,0.260044664519637,0.46,0.293,4.46916599387721e-106,"Stem","CEP83"
"ATP2C2",3.25114149861371e-109,0.255874980374998,0.737,0.555,1.43115248768975e-104,"Stem","ATP2C2"
"BZW2",3.51906949525534e-109,0.25866049244685,0.445,0.285,1.5490943918114e-104,"Stem","BZW2"
"TSEN2",6.03184059411274e-109,0.262488556008364,0.489,0.326,2.65521622952843e-104,"Stem","TSEN2"
"COMMD10",6.07182048450147e-109,0.254860073560812,0.722,0.552,2.67281537727755e-104,"Stem","COMMD10"
"SPATA5",2.91830787179855e-108,0.265780357817893,0.537,0.36,1.28463912516572e-103,"Stem","SPATA5"
"MAGED1",1.36693403528705e-107,0.255494671425887,0.689,0.518,6.01724362333358e-103,"Stem","MAGED1"
"YAP1",1.08889195725475e-105,0.255464742467991,0.662,0.505,4.79330239583543e-101,"Stem","YAP1"
"ANKH",8.33971666202621e-105,0.259591709065882,0.648,0.501,3.67114327462394e-100,"Stem","ANKH"
"TNFRSF11A",1.09822166171928e-104,0.26164125022498,0.485,0.324,4.83437175488827e-100,"Stem","TNFRSF11A"
